"bodyid","post","pre","downstream","upstream","synweight","assignedOlHex1","assignedOlHex2","flywireType","group","name","somaSide","statusLabel","superclass","type","vfbId","hemibrainType","itoleeHl","supertype","birthtime","mancBodyid","mancGroup","mancType","subclass","synonyms","class","rootSide","somaNeuromere","trumanHl","dimorphism","matchingNotes","entryNerve","mancSerial","mcnsSerial","serialMotif","fruDsx","exitNerve","receptorType","somaLocation","tosomaLocation","status","totalNtPredictions","predictedNtConfidence","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","celltypePredictedNtConfidence","consensusNt","voxels","locationType","soma","role","superclass_export"
12556,5127,1227,8717,5127,13844,NA,NA,"PLP093",12556,"PLP093_R","R","Roughly traced","cb_intrinsic","PLP093","VFB_jrmc1iu1","PLP093","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22940,16928,31388","","Traced",1227,0.966824173927307,"acetylcholine",2526,"acetylcholine",0.963203072547913,"acetylcholine",2076655568,NA,TRUE,"INTERNEURON","cb_intrinsic"
12557,5742,1299,9175,5742,14917,NA,NA,"PLP093",12556,"PLP093_L","L","Roughly traced","cb_intrinsic","PLP093","VFB_jrmc1iu2","PLP093","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73080,15330,31018","","Traced",1299,0.959782779216766,"acetylcholine",2526,"acetylcholine",0.963203072547913,"acetylcholine",2076802550,NA,TRUE,"INTERNEURON","cb_intrinsic"
12561,10680,1940,17421,10680,28101,NA,NA,"AVLP030",NA,"AVLP030_R","R","Prelim Roughly traced","cb_intrinsic","AVLP030","VFB_jrmc3hv8","AVLP030","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22891,17718,27189","","Traced",1940,0.627812206745148,"gaba",1940,"gaba",0.627812206745148,"gaba",2114396639,NA,TRUE,"INTERNEURON","cb_intrinsic"
12562,3414,1414,11411,3414,14825,NA,NA,"CB0539",12562,"GNG504_L","L","Roughly traced","cb_intrinsic","GNG504","VFB_jrmc2u90",NA,"putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60624,36565,20080","","Traced",1414,0.871154308319092,"gaba",2744,"gaba",0.86330908536911,"gaba",2122156669,NA,TRUE,"INTERNEURON","cb_intrinsic"
12564,3871,1981,16397,3871,20268,NA,NA,"CB0540",12564,"CB0540_R","R","Roughly traced","cb_intrinsic","CB0540","VFB_jrmc3fa6",NA,"putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41319,35603,14184","","Traced",1981,0.847581505775452,"gaba",4157,"gaba",0.8600252866745,"gaba",1928297645,NA,TRUE,"INTERNEURON","cb_intrinsic"
12568,8821,969,7587,8821,16408,NA,NA,"AOTU014",12568,"AOTU014_L","L","Roughly traced","cb_intrinsic","AOTU014","VFB_jrmc3hja","AOTU014","putative_primary",NA,"early",NA,NA,NA,NA,"fru-M-100024,fru-M-200270,fru-M-200288,fru-M-600092,fru-M-700172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fru_high",NA,NA,"49154,13280,13232","","Traced",969,0.923668920993805,"acetylcholine",1932,"acetylcholine",0.933536350727081,"acetylcholine",2328708580,NA,TRUE,"INTERNEURON","cb_intrinsic"
12574,2517,435,3439,2517,5956,NA,NA,"LPLC4",10801,"LPLC4_L","L","Prelim Roughly traced","visual_projection","LPLC4","VFB_jrmc23x3","LPLC4","VPNd1","10801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66868,23833,33906","","Traced",435,0.965815842151642,"acetylcholine",42845,"acetylcholine",0.951485395431519,"acetylcholine",764036544,NA,TRUE,"INTERNEURON","visual_projection"
12575,2819,1440,13071,2819,15890,NA,NA,"PS175",12575,"PS175_L","L","Roughly traced","cb_intrinsic","PS175","VFB_jrmc1js2","PS175","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65179,20073,36220","","Traced",1440,0.764085710048676,"glutamate",2746,"glutamate",0.756205260753632,"glutamate",1442082293,NA,TRUE,"INTERNEURON","cb_intrinsic"
12577,3351,1681,6619,3351,9970,NA,NA,"CB0452",12577,"PLP260_R","R","Roughly traced","cb_intrinsic","PLP260","VFB_jrmc1j5b",NA,"putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27860,18628,34070","","Traced",1681,0.461834818124771,"unclear",3250,"unclear",0.481844753026962,"unclear",2058772316,NA,TRUE,"INTERNEURON","cb_intrinsic"
12586,2333,775,6620,2333,8953,NA,NA,"LC14a1",12586,"LC14a-1_L","L","Roughly traced","ol_intrinsic","LC14a-1","VFB_jrmc26wb",NA,"VPNp1_lateral","12586",NA,NA,NA,NA,NA,NA,"ol_bilateral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71380,18871,30045","","Traced",775,0.948436558246613,"acetylcholine",18457,"acetylcholine",0.94345223903656,"acetylcholine",1182968244,NA,TRUE,"INTERNEURON","ol_intrinsic"
12594,2482,1100,8820,2482,11302,NA,NA,"WED069",12594,"WED069_L","L","Roughly traced","cb_intrinsic","WED069","VFB_jrmc00dp","WED069","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62602,31380,19586","","Traced",1100,0.958842158317566,"acetylcholine",2307,"acetylcholine",0.957472860813141,"acetylcholine",1525283122,NA,TRUE,"INTERNEURON","cb_intrinsic"
12614,3448,657,1900,3448,5348,NA,NA,"CB3877",NA,"SAD092_M","M","Prelim Roughly traced","cb_intrinsic","SAD092","VFB_jrmc1ayx",NA,"LB0","10128",NA,NA,NA,NA,NA,NA,NA,NA,"LB","00A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48195,46220,34487","","Traced",657,0.675978899002075,"gaba",657,"gaba",0.675978899002075,"gaba",2942346796,NA,TRUE,"INTERNEURON","cb_intrinsic"
