"bodyid","name","type","signal","side"
40841,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
40884,"LC10d_R","LC10d","OBJECT_TRACKING","R"
40983,"LC40_R","LC40","LOOMING_COLLISION","R"
40999,"LC10d_R","LC10d","OBJECT_TRACKING","R"
41009,"LC10d_L","LC10d","OBJECT_TRACKING","L"
41089,"LC10a_R","LC10a","OBJECT_TRACKING","R"
41097,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
41152,"LC43_R","LC43","LOOMING_COLLISION","R"
41168,"LC10d_L","LC10d","OBJECT_TRACKING","L"
41240,"LC10a_R","LC10a","OBJECT_TRACKING","R"
41376,"LC10d_R","LC10d","OBJECT_TRACKING","R"
41473,"LC10d_L","LC10d","OBJECT_TRACKING","L"
41564,"LC10d_L","LC10d","OBJECT_TRACKING","L"
41567,"LC10d_L","LC10d","OBJECT_TRACKING","L"
41769,"LC44_R","LC44","LOOMING_COLLISION","R"
41799,"LC10d_L","LC10d","OBJECT_TRACKING","L"
41881,"LC10d_R","LC10d","OBJECT_TRACKING","R"
41954,"LC10d_L","LC10d","OBJECT_TRACKING","L"
42029,"LC10b_R","LC10b","OBJECT_TRACKING","R"
42153,"LC10b_R","LC10b","OBJECT_TRACKING","R"
42379,"LC10a_L","LC10a","OBJECT_TRACKING","L"
42452,"LC10a_R","LC10a","OBJECT_TRACKING","R"
42489,"LC10_unclear_L","LC10_unclear","OBJECT_TRACKING","L"
42508,"LC10d_R","LC10d","OBJECT_TRACKING","R"
42631,"LC10d_R","LC10d","OBJECT_TRACKING","R"
42662,"LC10d_R","LC10d","OBJECT_TRACKING","R"
42980,"LC10d_R","LC10d","OBJECT_TRACKING","R"
43254,"LC10d_R","LC10d","OBJECT_TRACKING","R"
43296,"LC10d_R","LC10d","OBJECT_TRACKING","R"
43326,"LC10d_R","LC10d","OBJECT_TRACKING","R"
43387,"LC10d_L","LC10d","OBJECT_TRACKING","L"
43484,"LC10d_R","LC10d","OBJECT_TRACKING","R"
43865,"LC10a_L","LC10a","OBJECT_TRACKING","L"
43910,"LC10a_R","LC10a","OBJECT_TRACKING","R"
43979,"LC10d_R","LC10d","OBJECT_TRACKING","R"
44068,"LC10d_R","LC10d","OBJECT_TRACKING","R"
44097,"LC10d_L","LC10d","OBJECT_TRACKING","L"
44126,"LC10d_L","LC10d","OBJECT_TRACKING","L"
44238,"LC10e_L","LC10e","OBJECT_TRACKING","L"
44299,"LC10a_R","LC10a","OBJECT_TRACKING","R"
44481,"LC10d_L","LC10d","OBJECT_TRACKING","L"
44572,"LC10d_L","LC10d","OBJECT_TRACKING","L"
44600,"LC10d_R","LC10d","OBJECT_TRACKING","R"
44656,"LC10a_R","LC10a","OBJECT_TRACKING","R"
44666,"LC10a_R","LC10a","OBJECT_TRACKING","R"
44856,"LC10a_R","LC10a","OBJECT_TRACKING","R"
45300,"LC10a_R","LC10a","OBJECT_TRACKING","R"
45573,"LC10d_L","LC10d","OBJECT_TRACKING","L"
45579,"LC10a_L","LC10a","OBJECT_TRACKING","L"
45609,"LC10b_R","LC10b","OBJECT_TRACKING","R"
45917,"LC10d_L","LC10d","OBJECT_TRACKING","L"
45941,"LC10d_L","LC10d","OBJECT_TRACKING","L"
46007,"LC10d_L","LC10d","OBJECT_TRACKING","L"
46021,"LC10b_R","LC10b","OBJECT_TRACKING","R"
46034,"LC10a_R","LC10a","OBJECT_TRACKING","R"
46181,"LC10d_L","LC10d","OBJECT_TRACKING","L"
46316,"LC10d_L","LC10d","OBJECT_TRACKING","L"
46727,"LC10d_R","LC10d","OBJECT_TRACKING","R"
46877,"LC10d_R","LC10d","OBJECT_TRACKING","R"
47061,"LC40_R","LC40","LOOMING_COLLISION","R"
47206,"LC10a_L","LC10a","OBJECT_TRACKING","L"
47400,"LC10a_R","LC10a","OBJECT_TRACKING","R"
47729,"LC10d_L","LC10d","OBJECT_TRACKING","L"
47789,"LC10d_L","LC10d","OBJECT_TRACKING","L"
48165,"LC40_L","LC40","LOOMING_COLLISION","L"
48198,"LC10a_L","LC10a","OBJECT_TRACKING","L"
48488,"LC10d_L","LC10d","OBJECT_TRACKING","L"
48716,"LC10a_R","LC10a","OBJECT_TRACKING","R"
48790,"LC10a_L","LC10a","OBJECT_TRACKING","L"
48795,"LC10d_L","LC10d","OBJECT_TRACKING","L"
48901,"LC10b_R","LC10b","OBJECT_TRACKING","R"
49055,"LC10_unclear_R","LC10_unclear","OBJECT_TRACKING","R"
49244,"LC10a_R","LC10a","OBJECT_TRACKING","R"
49360,"LC10a_L","LC10a","OBJECT_TRACKING","L"
49424,"LC10a_L","LC10a","OBJECT_TRACKING","L"
49486,"LC10d_L","LC10d","OBJECT_TRACKING","L"
49497,"LC10d_R","LC10d","OBJECT_TRACKING","R"
49664,"LC10d_R","LC10d","OBJECT_TRACKING","R"
49762,"LC10d_L","LC10d","OBJECT_TRACKING","L"
49773,"LC10a_R","LC10a","OBJECT_TRACKING","R"
49807,"LC10a_L","LC10a","OBJECT_TRACKING","L"
50161,"LC10b_R","LC10b","OBJECT_TRACKING","R"
